127.0.0.1 - - [15/May/2025:14:18:09 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:11 +0530] "GET /CustomerCareSystem/signin.jsp HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:11 +0530] "GET /CustomerCareSystem/js/login.js HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:11 +0530] "GET /CustomerCareSystem/css/login.css HTTP/1.1" 200 2668
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:12 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:24 +0530] "POST /CustomerCareSystem/signin HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:24 +0530] "GET /CustomerCareSystem/css/headfoot.css HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:24 +0530] "GET /CustomerCareSystem/css/adminstyle.css HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:24 +0530] "GET /CustomerCareSystem/images/profile.jpg HTTP/1.1" 200 46226
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:29 +0530] "GET /CustomerCareSystem/customercare.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:29 +0530] "GET /CustomerCareSystem/AnnouncementDisplayServlet HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:29 +0530] "GET /CustomerCareSystem/js/announcement.js HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:29 +0530] "GET /CustomerCareSystem/css/customercare.css HTTP/1.1" 200 6581
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:30 +0530] "GET /CustomerCareSystem/adminacc.jsp HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:33 +0530] "GET /CustomerCareSystem/customercare.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:33 +0530] "GET /CustomerCareSystem/AnnouncementDisplayServlet HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:40 +0530] "GET /CustomerCareSystem/adminacc.jsp HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:43 +0530] "GET /CustomerCareSystem/customercare.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:43 +0530] "GET /CustomerCareSystem/AnnouncementDisplayServlet HTTP/1.1" 200 5753
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:50 +0530] "GET /CustomerCareSystem/adminacc.jsp HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:51 +0530] "POST /CustomerCareSystem/updateadmin.jsp HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [15/May/2025:14:18:51 +0530] "GET /CustomerCareSystem/css/updateadmin.css HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [15/May/2025:14:19:02 +0530] "GET /CustomerCareSystem/adminacc.jsp HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [15/May/2025:14:24:36 +0530] "POST /CustomerCareSystem/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2025:14:24:36 +0530] "GET /CustomerCareSystem/signin.jsp HTTP/1.1" 200 865
