127.0.0.1 - - [12/Jun/2025:16:01:16 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:01:18 +0530] "GET /CustomerCareSystem/signin.jsp HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:01:18 +0530] "GET /CustomerCareSystem/js/login.js HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:01:18 +0530] "GET /CustomerCareSystem/css/login.css HTTP/1.1" 200 2668
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:01:18 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:01:32 +0530] "POST /CustomerCareSystem/signin HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:01:33 +0530] "GET /CustomerCareSystem/images/profile.jpg HTTP/1.1" 200 46226
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:01:33 +0530] "GET /CustomerCareSystem/css/adminstyle.css HTTP/1.1" 200 2330
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:01:33 +0530] "GET /CustomerCareSystem/css/headfoot.css HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:01:36 +0530] "GET /CustomerCareSystem/customercare.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:01:36 +0530] "GET /CustomerCareSystem/AnnouncementDisplayServlet HTTP/1.1" 200 5182
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:01:36 +0530] "GET /CustomerCareSystem/css/customercare.css HTTP/1.1" 200 6581
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:01:36 +0530] "GET /CustomerCareSystem/js/announcement.js HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:03:01 +0530] "GET /CustomerCareSystem/signin.jsp HTTP/1.1" 200 865
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:03:01 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:03:10 +0530] "POST /CustomerCareSystem/signin HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:03:14 +0530] "POST /CustomerCareSystem/updateadmin.jsp HTTP/1.1" 200 1763
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:03:14 +0530] "GET /CustomerCareSystem/css/updateadmin.css HTTP/1.1" 200 2982
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:03:18 +0530] "GET /CustomerCareSystem/adminacc.jsp HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:03:20 +0530] "GET /CustomerCareSystem/adminacc.jsp HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [12/Jun/2025:16:03:24 +0530] "GET /CustomerCareSystem/customercare.jsp HTTP/1.1" 302 -
